keys,zh_CN,en
ICON_TURN_ON,"开","On"
ICON_TURN_OFF,"关","Off"
ICON_CLOSE,"关闭","Close"
SETTINGS_TAB_SELECTED,"切换至{selection}","Switch to {selection}"
SETTINGS_CHECKBOX_OFF,"已关闭","Turned off"
SETTINGS_CHECKBOX_ON,"已开启","Turned on"
SETTINGS_OPTION_BUTTON_HOVERED,"目前选项为{selection}","current option is {selection}"
SETTINGS_OPTION_BUTTON_SHOW,"展开","Pop up"
SETTINGS_OPTION_BUTTON_SELECTED,"已选择{selection}","{selection} is selected"
SETTINGS_SLIDER_HOVERED,"数字框值为%d%%","The SpinBox's value is %d%%"
SETTINGS_SLIDER_CHANGED,"修改值为%d%%","Change SpinBox's value to %d%%"
WHERE_IS_CHESHIRE,"您当前在{by}位置","You are on {by}"
THERE_IS_A_PIECE,"{piece}在{by}位置","{piece} on {by}"
WHITE_PLAY,"白方走{move}","White plays {move}"
BLACK_PLAY,"黑方走{move}","Black plays {move}"
TRAVEL_TO,"移动至{by}","Moved to {by}"
WELCOME_TO,"您来到了{place}。","You've arrived to {place}."
DESCRIPTION_ENTRANCE,"这是您一开始的地方。中间有 4×4 大小的水池，显然，您不能走到那个地方。北面可以看到洋馆的正面，而在西面隐约可以看到有条小道，南面则有一扇大门。","This is the place where you begin. There is a 4×4 pool on the center, and obviously you can't get into it. In the north you can see the mansion, in the west there is a path is barely visible, and in the south there is a large gate."
DESCRIPTION_RECEPTION_LOBBY,"大厅内很宽敞，甚至有点空荡。其中，西南位置有个门口，很难看出门背后有什么，而西北位置有座电梯，可前往其他楼层，","The lobby is spacious and even a bit empty. on southwest side there is a door. Hard to see what's behind the door. on northwest side there is an elevator. You can use it to the other floors."
DESCRIPTION_GARDEN,"花园里没有花，而是一片长满草丛的空地，被周围的树木环绕着。草丛中间有一张桌子和两个椅子，而有个长者黑色毛发的狼人坐在其中一个座位上，另一个座位则是空位。桌子上摆着个棋盘，那位狼人用手指就在棋盘上比划，但是棋盘上没有棋子，很难得知他在比划什么。此外，您可通过东侧的小径回到刚才的门口。","The garden is a cleared space with a lot of grasses, surrounded by trees. In the center, there is a table with two chairs, which a black wolf man sitting on one of the chairs, and the other chair is nobody. That wolf man is pointing on the chessboard, without chess piece. Besides, you can go back to the entrance by the path on the east."
DESCRIPTION_CAFE,"这里是咖啡厅。即使开着灯，这个空间比起大厅仍然要显得昏暗许多。至少不是空无一人的地方，有一个猫人坐在靠窗的座位上，不知他在研究什么。","This is a cafe. Although the lights are on, it is still dark compared to the lobby. At least, there is a cat man sitting beside a window."
DESCRIPTION_KITCHEN,"后厨空间狭窄且昏暗，不过它看起来比较干净。","The kitchen is dark and narrow, but it is tidy."
DESCRIPTION_HALLWAY_2F,"2楼的走廊在大厅的上方悬空着，分为东西两侧，中间有个狭窄的过道让这两侧相连起来。东南方位置有个门可通过","The second floor hallway is hanging upon the lobby. It divided into east-west side. there is a passthrough makes these two sides connected. There is a door on the southeast."
DESCRIPTION_HALLWAY_3F,"3楼是住宿区域，因此走廊的两侧不意外的都是客房房门，不过只有东侧的某个门是可以通过的，毕竟您可以在那里居住。","The third floor is guest room area, so there are doors on the two sides of the hallway. But you can only pass through the door on one of the east doors. That's where you live."
DESCRIPTION_GUEST_ROOM,"这是玉兰安排给您的客房。您可以暂时在这里休息一下。","This is the room Yulan arranged for you. You can take a rest here."
DESCRIPTION_HALLWAY_MINUS_1F,"负一楼同样都有一些门，不过北边走廊尽头处有个大门，可以通往地下室。","The B1 floor also have doors on two side, and there is a large door on the north end. leads to the basement."
DESCRIPTION_BASEMENT,"地下室堆满了杂物，","The basement has a lot of clutters. "
DESCRIPTION_BASEMENT_LIGHT_OFF,"由于没有开灯，整个空间可谓伸手不见五指。可以在门口位置按下开关开灯。","It's lights off, the whole space is full of darkness. You can turn on the light on the doorway."
DESCRIPTION_BASEMENT_LIGHT_ON,"现在灯是亮着的，当然，即便您不开灯，文本叙述仍然会告知您所有信息。","Now it's lights on. The narrator still tells you all of informations even if you don't turn on."
DESCRIPTION_COMPUTER_ROOM,"这是隐藏在柜子背后的计算机室，不知出于什么原因需要隐藏这个房间。房间很小，只有一台计算机摆在书桌上。","This is the computer room hidden behind the shelf, for unknown reason. The room is small, and there is only one computer on the desk."
